experiment,dataset,seed,model,method,pi_train,pi_test,c10,c01,tp,fp,tn,fn,tpr,fpr,tnr,fnr,precision,recall,f1,accuracy,risk,roc_auc,pr_auc,brier,logloss,threshold,neff,notes
exp1,synthetic,0,LogisticRegression,offset,0.2,0.05,10.0,1.0,106,4,18996,894,0.106,0.0002105263157894737,0.9997894736842106,0.894,0.9636363636363636,0.106,0.19099099099099098,0.9551,0.0467,0.9460881578947369,0.6466910483314557,0.027419588188600925,0.10063198721087395,2.302585092994046,,offset_corrected
exp1,synthetic,0,LogisticRegression,oracle_threshold,0.2,0.05,10.0,1.0,258,28,18972,742,0.258,0.0014736842105263158,0.9985263157894737,0.742,0.9020979020979021,0.258,0.401244167962675,0.9615,0.0511,0.9460881578947369,0.6466910483314557,0.027419588188600925,0.10063198721087395,1.1635451559130814,,tuned_on_400_samples
exp1,synthetic,0,LogisticRegression,nocorr,0.2,0.05,1.0,10.0,943,4786,14214,57,0.943,0.2518947368421053,0.7481052631578947,0.05700000000000005,0.1646011520335137,0.943,0.28027938772477334,0.75785,0.2678,0.9460881578947369,0.6466910483314557,0.043254078592566664,0.1514912331672482,-2.3025850929940455,,fixed_threshold
exp1,synthetic,0,LogisticRegression,offset,0.2,0.05,1.0,10.0,815,1620,17380,185,0.815,0.08526315789473685,0.9147368421052632,0.18500000000000005,0.3347022587268994,0.815,0.4745269286754003,0.90975,0.1735,0.9460881578947369,0.6466910483314557,0.027419588188600925,0.10063198721087395,-2.3025850929940455,,offset_corrected
exp1,synthetic,0,LogisticRegression,oracle_threshold,0.2,0.05,1.0,10.0,801,1484,17516,199,0.801,0.07810526315789473,0.9218947368421052,0.19899999999999995,0.35054704595186,0.801,0.4876712328767123,0.91585,0.1737,0.9460881578947369,0.6466910483314557,0.027419588188600925,0.10063198721087395,-2.20210433389188,,tuned_on_400_samples
exp1,synthetic,0,XGBoost,nocorr,0.2,0.05,1.0,1.0,709,880,18120,291,0.709,0.04631578947368421,0.9536842105263158,0.29100000000000004,0.4461925739458779,0.709,0.5477018153727308,0.94145,0.05855,0.9453322368421054,0.6435029883148677,0.043688610196113586,0.151684293587752,0.0,,fixed_threshold
exp1,synthetic,0,XGBoost,offset,0.2,0.05,1.0,1.0,471,156,18844,529,0.471,0.008210526315789474,0.9917894736842106,0.529,0.7511961722488039,0.471,0.578979717271051,0.96575,0.03425,0.9453322368421052,0.6435029883148677,0.02760683418473444,0.10152214820740464,0.0,,offset_corrected
exp1,synthetic,0,XGBoost,oracle_threshold,0.2,0.05,1.0,1.0,486,180,18820,514,0.486,0.009473684210526316,0.9905263157894737,0.514,0.7297297297297297,0.486,0.5834333733493398,0.9653,0.0347,0.9453322368421052,0.6435029883148677,0.02760683418473444,0.10152214820740464,-0.08487205601957215,,tuned_on_400_samples
exp1,synthetic,0,XGBoost,nocorr,0.2,0.05,10.0,1.0,317,58,18942,683,0.317,0.0030526315789473684,0.9969473684210526,0.683,0.8453333333333334,0.317,0.4610909090909091,0.96295,0.06315,0.9453322368421054,0.6435029883148677,0.043688610196113586,0.151684293587752,2.302585092994046,,fixed_threshold
exp1,synthetic,0,XGBoost,offset,0.2,0.05,10.0,1.0,76,3,18997,924,0.076,0.00015789473684210527,0.9998421052631579,0.924,0.9620253164556962,0.076,0.14087117701575533,0.95365,0.0477,0.9453322368421052,0.6435029883148677,0.02760683418473444,0.10152214820740464,2.302585092994046,,offset_corrected
